repo_path,r2_key,public_url,size_bytes,category,status,error
assets/pinterest/library-cottagecore-symbols--v4.png,pinterest/variants/library-cottagecore-symbols--v4.png,https://media.ultratextgen.com/pinterest/variants/library-cottagecore-symbols--v4.png,255012,variants,skipped-identical,
assets/pinterest/library-cottagecore-symbols--v5.png,pinterest/variants/library-cottagecore-symbols--v5.png,https://media.ultratextgen.com/pinterest/variants/library-cottagecore-symbols--v5.png,264365,variants,skipped-identical,
assets/pinterest/library-cottagecore-symbols--v6.png,pinterest/variants/library-cottagecore-symbols--v6.png,https://media.ultratextgen.com/pinterest/variants/library-cottagecore-symbols--v6.png,258698,variants,skipped-identical,
assets/pinterest/library-cottagecore-symbols.png,pinterest/base/library-cottagecore-symbols.png,https://media.ultratextgen.com/pinterest/base/library-cottagecore-symbols.png,253709,base,skipped-identical,
assets/pinterest/library-cowboy-emoji--v2.png,pinterest/variants/library-cowboy-emoji--v2.png,https://media.ultratextgen.com/pinterest/variants/library-cowboy-emoji--v2.png,206659,variants,skipped-identical,
assets/pinterest/library-cowboy-emoji--v3.png,pinterest/variants/library-cowboy-emoji--v3.png,https://media.ultratextgen.com/pinterest/variants/library-cowboy-emoji--v3.png,224340,variants,skipped-identical,
assets/pinterest/library-cowboy-emoji--v4.png,pinterest/variants/library-cowboy-emoji--v4.png,https://media.ultratextgen.com/pinterest/variants/library-cowboy-emoji--v4.png,211556,variants,skipped-identical,
assets/pinterest/library-cowboy-emoji--v5.png,pinterest/variants/library-cowboy-emoji--v5.png,https://media.ultratextgen.com/pinterest/variants/library-cowboy-emoji--v5.png,221444,variants,skipped-identical,
assets/pinterest/library-cowboy-emoji--v6.png,pinterest/variants/library-cowboy-emoji--v6.png,https://media.ultratextgen.com/pinterest/variants/library-cowboy-emoji--v6.png,212688,variants,skipped-identical,
assets/pinterest/library-cowboy-emoji--v7.png,pinterest/variants/library-cowboy-emoji--v7.png,https://media.ultratextgen.com/pinterest/variants/library-cowboy-emoji--v7.png,211417,variants,skipped-identical,
assets/pinterest/library-cowboy-emoji--v8.png,pinterest/variants/library-cowboy-emoji--v8.png,https://media.ultratextgen.com/pinterest/variants/library-cowboy-emoji--v8.png,212482,variants,skipped-identical,
assets/pinterest/library-cowboy-emoji.png,pinterest/base/library-cowboy-emoji.png,https://media.ultratextgen.com/pinterest/base/library-cowboy-emoji.png,216780,base,skipped-identical,
assets/pinterest/library-cringe-emoji--v2.png,pinterest/variants/library-cringe-emoji--v2.png,https://media.ultratextgen.com/pinterest/variants/library-cringe-emoji--v2.png,204389,variants,skipped-identical,
assets/pinterest/library-cringe-emoji--v3.png,pinterest/variants/library-cringe-emoji--v3.png,https://media.ultratextgen.com/pinterest/variants/library-cringe-emoji--v3.png,220601,variants,skipped-identical,
assets/pinterest/library-cringe-emoji--v4.png,pinterest/variants/library-cringe-emoji--v4.png,https://media.ultratextgen.com/pinterest/variants/library-cringe-emoji--v4.png,207993,variants,skipped-identical,
assets/pinterest/library-cringe-emoji--v5.png,pinterest/variants/library-cringe-emoji--v5.png,https://media.ultratextgen.com/pinterest/variants/library-cringe-emoji--v5.png,219195,variants,skipped-identical,
assets/pinterest/library-cringe-emoji--v6.png,pinterest/variants/library-cringe-emoji--v6.png,https://media.ultratextgen.com/pinterest/variants/library-cringe-emoji--v6.png,211026,variants,skipped-identical,
assets/pinterest/library-cringe-emoji--v7.png,pinterest/variants/library-cringe-emoji--v7.png,https://media.ultratextgen.com/pinterest/variants/library-cringe-emoji--v7.png,208671,variants,skipped-identical,
assets/pinterest/library-cringe-emoji--v8.png,pinterest/variants/library-cringe-emoji--v8.png,https://media.ultratextgen.com/pinterest/variants/library-cringe-emoji--v8.png,210861,variants,skipped-identical,
assets/pinterest/library-cringe-emoji.png,pinterest/base/library-cringe-emoji.png,https://media.ultratextgen.com/pinterest/base/library-cringe-emoji.png,217772,base,skipped-identical,
assets/pinterest/library-croatia-emoji-combos--v2.png,pinterest/variants/library-croatia-emoji-combos--v2.png,https://media.ultratextgen.com/pinterest/variants/library-croatia-emoji-combos--v2.png,215321,variants,skipped-identical,
