archetype,mode,reps,svg_build_s,load_median_s,load_iqr_s,raster_median_s,raster_iqr_s,pdf_median_s,pdf_iqr_s,raster_post_median_s,layout_s,style_s,js_heap_used_mb,dom_nodes,dom_patterns,dom_images,svg_bytes,pdf_bytes
D,OUTLINE_NAIVE,7,0.000200272,0.00383516,0.00101765,0.0753402,0.0103963,0.0081203,0.000591959,0,0,0,2.71733,37,0,0,4039,34060
D,BG_REMOVAL,7,0.000129765,0.00467164,0.00228277,0.0855278,0.0109205,0.00919274,0.00356593,0,0,0,2.35262,37,0,0,4015,34064
D,DECOR_REMOVAL,7,0.000173304,0.00416171,0.00182144,0.0796549,0.00866754,0.00831019,0.000735153,0,0,0,2.55906,35,0,0,3915,33370
D,HALFTONE_H,7,0.000182871,0.00593375,0.00106317,0.105509,0.0226409,0.816696,0.0270596,0,0,0,2.80017,46,4,0,4876,2616250
D,HALFTONE_M,7,0.000130104,0.00745022,0.00285988,0.107555,0.021393,0.484924,0.0395306,0,0,0,2.19802,46,4,0,4876,2872617
D,HALFTONE_L,7,0.000136479,0.00543998,0.0012848,0.0981532,0.00799023,0.391535,0.0139286,0,0,0,2.4168,46,4,0,4876,2814167
D,DITHER_M,7,0.000148319,0.00574888,0.00315568,0.0928289,0.00462028,0.666235,0.042808,0,0,0,2.13398,46,4,4,8984,3870316
D,HIGH_CONTRAST,7,0.000157486,0.00361861,0.000841851,0.0777515,0.00370994,0.00867806,0.00367347,0,0,0,2.34615,37,0,0,4015,34035
D,ECO_COLOUR,7,0.000147927,0.00402534,0.00143485,0.0738129,0.00574651,0.00896808,0.000429517,0,0,0,2.54718,35,0,0,3915,33368
D,SUPER_ECO_BW,7,0.000129129,0.00405932,0.000360995,0.0781646,0.00916863,0.00804238,0.000648953,0,0,0,2.14634,35,0,0,3906,33219
D,INT_BG+TINT_FILL_55,7,0.00017068,0.00448073,0.000956845,0.0778178,0.0132086,0.00963412,0.00102213,0,0,0,2.34818,37,0,0,4015,34065
D,INT_REMOVE_ALL,7,0.000198444,0.00383594,0.00109856,0.0819384,0.00728191,0.00876109,0.000809249,0,0,0,2.54698,35,0,0,3915,33370
D,INT_OUTLINE+BW,7,0.000122685,0.00424953,0.00100114,0.076494,0.0106016,0.00890571,0.000772575,0,0,0,2.14675,37,0,0,4039,34015
D,INT_GRAY+BG,7,0.000125806,0.00359466,0.000596063,0.0741999,0.00638271,0.00768543,0.000835403,0,0,0,2.34959,37,0,0,4015,34046
D,INT_OUTLINE+HALFTONE_M,7,0.000150809,0.00362599,0.000410551,0.0703554,0.00451197,0.00866196,0.00091653,0,0,0,2.55136,37,0,0,4039,34060
D,COPY_SAFE_ECO,7,0.000116599,0.00352942,0.000673964,0.0777062,0.00550762,0.00824468,0.00119948,0,0,0,2.15851,35,0,0,3915,33340
D,COMBINED_REMOVE+TINT_75,7,0.000121736,0.00374354,0.000499969,0.0729463,0.00602818,0.00829586,0.000772483,0,0,0,2.35847,35,0,0,3915,33375
D,COMBINED_ECO+STRUCT_75,7,0.00011906,0.00361483,0.00035726,0.0746654,0.0093213,0.00814318,0.00106918,0,0,0,2.56084,35,0,0,3915,33375
E,STANDARD,7,0.0396823,0.0106654,0.00316118,0.122039,0.00450094,0.0246151,0.00152674,0,0,0,3.75097,39,0,4,122147,284777
E,OPACITY_GROUP_90,7,0.0433545,0.0103598,0.00226968,0.125185,0.0105432,0.0235908,0.00130156,0,0,0,5.88804,39,0,4,122161,285211
E,OPACITY_GROUP_75,7,0.042782,0.010069,0.00381146,0.126128,0.0113569,0.0261705,0.00210784,0,0,0,7.48406,39,0,4,122162,285212
E,OPACITY_GROUP_60,7,0.0417828,0.0112867,0.00270038,0.125329,0.0112821,0.0252607,0.0014875,0,0,0,8.92902,39,0,4,122161,285211
E,OPACITY_GROUP_45,7,0.0415471,0.00856714,0.000963914,0.111176,0.00469509,0.0265479,0.00362696,0,0,0,11.1742,39,0,4,122162,285212
E,OPACITY_ELEM_60,7,0.0422464,0.00904326,0.00195364,0.115211,0.0110379,0.0262078,0.00273117,0,0,0,13.4154,39,0,4,122619,298941
E,OPACITY_FILL_60,7,0.0536807,0.00947629,0.00205315,0.113615,0.0100341,0.0243516,0.00243528,0,0,0,14.3223,39,0,4,122465,286255
E,OPACITY_STROKE_60,7,0.0427815,0.00882818,0.000753908,0.125507,0.0108016,0.0243003,0.00156848,0,0,0,16.557,39,0,4,122546,284783
E,OPACITY_TEXT_60,7,0.0436289,0.00932882,0.00146341,0.121975,0.0117941,0.0260436,0.00288011,0,0,0,18.7901,39,0,4,122259,288208
E,TINT_75,7,0.0541826,0.00841866,0.00143943,0.110795,0.0108913,0.020909,0.00150496,0,0,0,19.6685,39,0,4,118431,218187
E,TINT_55,7,0.0345735,0.00978434,0.00320827,0.121277,0.0134104,0.0222645,0.00302612,0,0,0,21.8386,39,0,4,105343,165691
E,TINT_30,7,0.0308466,0.00706432,0.00333959,0.10196,0.00992197,0.0186752,0.00223549,0,0,0,23.5653,39,0,4,81075,102542
E,TINT_FILL_55,7,0.034751,0.00902541,0.00141388,0.106146,0.0096536,0.0206385,0.00115073,0,0,0,24.3184,39,0,4,105343,165701
E,TINT_FILL_30,7,0.0294451,0.00663411,0.000735646,0.0953729,0.0061029,0.0170528,0.00300152,0,0,0,26.045,39,0,4,81075,102551
E,TINT_FILL_15,7,0.0152869,0.00587997,0.000691482,0.0890577,0.00885196,0.0150931,0.00353008,0,0,0,24.7953,39,0,4,54691,66792
E,GRAYSCALE,7,0.0193459,0.00631424,0.000754434,0.0915765,0.00500767,0.0216538,0.00164008,0,0,0,25.9968,39,0,4,58831,76154
E,BW_THRESHOLD,7,0.0409324,0.00951039,0.000754638,0.128402,0.0122545,0.025132,0.0049051,0.206431,0,0,28.1128,39,0,4,122147,284777
E,BW_SEMANTIC,7,0.0123393,0.0054674,0.00149803,0.0892368,0.00562333,0.0180548,0.000964715,0,0,0,25.1936,39,0,4,35531,43146
E,OUTLINE_ONLY,7,0.0406311,0.00892219,0.000732212,0.129869,0.0161929,0.0248848,0.00262163,0,0,0,27.304,39,0,4,122213,284450
E,OUTLINE_NAIVE,7,0.0436699,0.00967457,0.000626421,0.12492,0.0112023,0.0239089,0.00147579,0,0,0,25.5631,39,0,4,122213,284450
E,BG_REMOVAL,7,0.0437754,0.00958576,0.000634545,0.123365,0.00964708,0.0238003,0.00186409,0,0,0,27.5662,39,0,4,122147,284777
E,DECOR_REMOVAL,7,0.0431818,0.00939409,0.00121391,0.121752,0.0058449,0.0232323,0.00131755,0,0,0,24.6036,39,0,4,122147,284777
E,HALFTONE_H,7,0.0441071,0.0111479,0.000692927,0.171105,0.0126484,2.8737,0.0355454,0,0,0,17.0121,54,7,4,123770,9418825
E,HALFTONE_M,7,0.0525765,0.0106342,0.0021563,0.167249,0.00716561,1.85055,0.0672552,0,0,0,15.3382,54,7,4,123770,10299659
E,HALFTONE_L,7,0.0419202,0.0111484,0.00217915,0.165768,0.0147473,1.52053,0.0250461,0,0,0,17.503,54,7,4,123770,10424903
E,DITHER_M,7,0.0492149,0.012929,0.0012902,0.159956,0.0167218,2.67022,0.0705203,0,0,0,15.9603,54,7,11,130910,13742775
E,HIGH_CONTRAST,7,0.0446462,0.00907933,0.00211743,0.122619,0.00657638,0.0236925,0.00109797,0,0,0,18.1062,39,0,4,122147,284761
E,ECO_COLOUR,7,0.0433786,0.00810296,0.000136362,0.121186,0.0048944,0.0215278,0.00172335,0,0,0,17.2398,39,0,4,120391,231609
E,SUPER_ECO_BW,7,0.016006,0.00547152,0.00178637,0.0924036,0.00628604,0.0187401,0.00128009,0,0,0,18.3048,39,0,4,35489,42872
E,INT_BG+TINT_FILL_55,7,0.0394134,0.00896891,0.0015701,0.110028,0.00533473,0.0227812,0.00235797,0,0,0,16.2056,39,0,4,105343,165701
E,INT_REMOVE_ALL,7,0.0406543,0.00935334,0.00124297,0.124916,0.00404151,0.0262778,0.00255615,0,0,0,15.4819,39,0,4,122147,284777
E,INT_OUTLINE+BW,7,0.0118997,0.00561592,0.00111285,0.0903647,0.00622,0.0181964,0.00259323,0,0,0,16.3341,39,0,4,35489,42872
E,INT_GRAY+BG,7,0.0179021,0.00603474,0.000677651,0.0921309,0.00751092,0.0212193,0.000514155,0,0,0,17.4939,39,0,4,58831,76154
E,INT_OUTLINE+HALFTONE_M,7,0.0400715,0.00911288,0.000605533,0.119184,0.0132031,0.0235946,0.000613481,0,0,0,18.5518,39,0,4,122213,284450
E,COPY_SAFE_ECO,7,0.0422087,0.00970821,0.00154443,0.120432,0.00519637,0.0234626,0.00041246,0,0,0,20.5611,39,0,4,122147,284761
E,COMBINED_REMOVE+TINT_75,7,0.040435,0.00806243,0.00176469,0.116879,0.00438945,0.0214401,0.00266519,0,0,0,19.5121,39,0,4,118431,218187
E,COMBINED_ECO+STRUCT_75,7,0.0453425,0.00938688,0.00210985,0.119612,0.00490598,0.0215515,0.00354263,0,0,0,21.7423,39,0,4,120391,231608
F,STANDARD,7,8.9464e-05,0.00337203,0.000587197,0.0787644,0.0119983,0.00783068,0.000998984,0,0,0,22.1504,25,0,0,2068,27541
F,OPACITY_GROUP_90,7,8.5396e-05,0.00389742,0.000641289,0.0755176,0.00266122,0.00800327,0.00104308,0,0,0,18.4295,25,0,0,2082,27939
F,OPACITY_GROUP_75,7,8.5835e-05,0.00360603,0.000283722,0.0802316,0.00916823,0.00733612,0.000288088,0,0,0,18.5941,25,0,0,2083,27940
F,OPACITY_GROUP_60,7,8.9596e-05,0.00386102,0.00108017,0.0820256,0.0113359,0.00801446,0.00200636,0,0,0,18.7596,25,0,0,2082,27939
