mode,dpi,weight,size_pt,colour_after,nominal_wcag_cr,g0_recognition,g0_stroke_retention,g0_core_tone_median,pc1_recognition,pc1_stroke_retention,pc1_core_tone_median,pc2_recognition,pc2_stroke_retention,pc2_core_tone_median,pc3_recognition,pc3_stroke_retention,pc3_core_tone_median
OPACITY_GROUP_45,300,regular,6,#1a1a1a,2.8847,1,0.953524,0.408535,1,0.0540952,0.171297,0.277778,0,0.0284777,0,0,0
OPACITY_GROUP_45,300,regular,7,#1a1a1a,2.8847,1,0.956635,0.408535,1,0.161029,0.196579,0.75,0.000289101,0.0558044,0,0,0.00167459
OPACITY_GROUP_45,300,regular,8,#1a1a1a,2.8847,1,0.960541,0.408535,1,0.284859,0.217135,1,0.00332521,0.0793602,0.0555556,0,0.00282651
OPACITY_GROUP_45,300,regular,9,#1a1a1a,2.8847,1,0.980528,0.408535,1,0.408214,0.235083,1,0.00619579,0.1049,0.0833333,0,0.00631291
OPACITY_GROUP_45,300,regular,10,#1a1a1a,2.8847,1,0.980268,0.408535,1,0.523113,0.253923,1,0.0244239,0.130112,0.444444,0,0.0170398
OPACITY_GROUP_45,300,regular,12,#1a1a1a,2.8847,1,0.972578,0.408535,1,0.621187,0.2795,1,0.0987203,0.165917,0.972222,0.00134706,0.0488241
OPACITY_GROUP_45,300,regular,14,#1a1a1a,2.8847,1,0.982916,0.408535,1,0.694067,0.303142,1,0.253753,0.198376,1,0.00779128,0.0871232
OPACITY_GROUP_45,300,bold,6,#1a1a1a,2.8847,1,0.976345,0.408535,1,0.464258,0.242102,1,0.0168963,0.117257,0.166667,0,0.0139439
OPACITY_GROUP_45,300,bold,7,#1a1a1a,2.8847,1,0.972457,0.408535,1,0.560102,0.263725,1,0.0442652,0.144701,0.583333,0.00118041,0.0308502
OPACITY_GROUP_45,300,bold,8,#1a1a1a,2.8847,1,0.98314,0.408535,1,0.62547,0.281824,1,0.134578,0.169667,0.916667,0.00391389,0.0534915
OPACITY_GROUP_45,300,bold,9,#1a1a1a,2.8847,1,0.982411,0.408535,1,0.668122,0.296079,1,0.233139,0.190301,0.972222,0.00849102,0.0792816
