mode,archetype,rel_ttc_mean,rel_ttc_median,rel_ttc_min,rel_ttc_max,abs_ttc_mean,ttc_std_mean,q_gen0_mean,q_gen0_min,photocopy_retention_mean,n,n_failed,n_promising
INT_BG+TINT_FILL_55,J,0,0,0,0,0,0.013714,1,1,1,9,0,0
INT_BG+TINT_FILL_55,K,0.64487,0.64749,0.55267,0.73478,0.26652,0.41731,1,1,0.99964,9,0,0
INT_BG+TINT_FILL_55,L,0.43732,0.42738,0.40844,0.47557,0.12322,0.26687,0.95973,0.93805,1,9,0,0
INT_GRAY+BG,A,0,0,0,0,0,0.015477,1,1,1,9,0,0
INT_GRAY+BG,B,0,0,0,0,0,0.055382,1,1,1,9,0,0
INT_GRAY+BG,C,0,0,0,0,0,0.031454,1,1,1,9,0,0
INT_GRAY+BG,D,0.25489,0.24778,0.20479,0.31091,0.005156,0.020856,0.99999,0.99999,1,9,0,0
INT_GRAY+BG,E,0.44668,0.44853,0.4251,0.46491,0.043154,0.096146,0.99999,0.99999,1,9,0,0
INT_GRAY+BG,F,0.70078,0.70211,0.60511,0.80129,0.58255,0.80253,1,0.99997,1,9,0,6
INT_GRAY+BG,G,0,0,0,0,0,0.011458,1,1,1,9,0,0
INT_GRAY+BG,H,0,0,0,0,0,0.027569,1,1,1,9,0,0
INT_GRAY+BG,I,0.59194,0.58511,0.57858,0.61547,0.16349,0.27454,0.73333,0.7,1,9,6,0
INT_GRAY+BG,J,0,0,0,0,0,0.013714,1,1,1,9,0,0
INT_GRAY+BG,K,0.84923,0.85104,0.80259,0.89252,0.35332,0.41731,1,1,0.99964,9,0,0
INT_GRAY+BG,L,0.60724,0.60441,0.5514,0.64044,0.16768,0.26687,0.94187,0.73333,1,9,2,0
INT_OUTLINE+BW,A,-0.86277,-0.91838,-1.1482,-0.50887,-0.014564,0.015477,0.97915,0.96196,0.98004,9,0,0
INT_OUTLINE+BW,B,-0.11195,-0.1121,-0.11264,-0.11108,-0.0062001,0.055382,1,1,1,9,0,0
INT_OUTLINE+BW,C,-0.11137,-0.11145,-0.11207,-0.11062,-0.0035039,0.031454,1,1,1,9,0,0
INT_OUTLINE+BW,D,0.17349,0.1811,0.1036,0.26009,0.0036665,0.020856,0.88819,0.83964,1,9,0,0
INT_OUTLINE+BW,E,0.50371,0.50156,0.48582,0.51942,0.048517,0.096146,0.68382,0.61649,1,9,9,0
INT_OUTLINE+BW,F,0.97643,0.97745,0.96437,0.98561,0.78547,0.80253,0.0497,0.034394,1,9,9,0
INT_OUTLINE+BW,G,-0.11273,-0.11265,-0.11303,-0.11244,-0.0012914,0.011458,1,1,0.99997,9,0,0
INT_OUTLINE+BW,H,0.050197,0.048331,-0.037453,0.14946,0.0011293,0.027569,0.90135,0.78286,0.90139,9,1,0
INT_OUTLINE+BW,I,0.57168,0.56375,0.52837,0.61515,0.15855,0.27454,0.6,0.6,1,9,9,0
INT_OUTLINE+BW,J,-0.37949,-0.42315,-0.5286,-0.11242,-0.0056578,0.013714,0.9994,0.99843,0.99941,9,0,0
INT_OUTLINE+BW,K,0.93532,0.93763,0.91583,0.95111,0.39015,0.41731,1,1,1,9,0,0
INT_OUTLINE+BW,L,0.8189,0.78404,0.6985,0.95178,0.24148,0.26687,0.82671,0.77012,0.99998,9,3,0
INT_OUTLINE+HALFTONE_M,A,0,0,0,0,0,0.015477,1,1,1,9,0,0
INT_OUTLINE+HALFTONE_M,B,0,0,0,0,0,0.055382,1,1,1,9,0,0
INT_OUTLINE+HALFTONE_M,C,0,0,0,0,0,0.031454,1,1,1,9,0,0
INT_OUTLINE+HALFTONE_M,D,0.28442,0.28849,0.22148,0.35869,0.0059002,0.020856,0.92402,0.84754,0.99998,9,0,0
INT_OUTLINE+HALFTONE_M,E,0.25587,0.25709,0.2192,0.30752,0.024219,0.096146,0.79073,0.74831,1,9,5,0
INT_OUTLINE+HALFTONE_M,F,0.96925,0.97048,0.95104,0.98255,0.7803,0.80253,0.028288,0.020435,0.99991,9,9,0
INT_OUTLINE+HALFTONE_M,G,0,0,0,0,0,0.011458,1,1,1,9,0,0
INT_OUTLINE+HALFTONE_M,H,0.14808,0.14472,0.069991,0.23574,0.0038388,0.027569,1,1,1,9,0,0
INT_OUTLINE+HALFTONE_M,I,0.69404,0.69647,0.68009,0.70356,0.19062,0.27454,0.97778,0.93333,1,9,0,6
INT_OUTLINE+HALFTONE_M,J,0,0,0,0,0,0.013714,1,1,1,9,0,0
INT_OUTLINE+HALFTONE_M,K,0.92868,0.93047,0.9127,0.94244,0.38744,0.41731,1,1,0.99964,9,0,0
INT_OUTLINE+HALFTONE_M,L,0.85481,0.83655,0.77293,0.9505,0.24316,0.26687,0.83808,0.79187,0.99998,9,1,0
INT_REMOVE_ALL,A,0,0,0,0,0,0.015477,1,1,1,9,0,0
INT_REMOVE_ALL,B,0,0,0,0,0,0.055382,1,1,1,9,0,0
INT_REMOVE_ALL,C,0,0,0,0,0,0.031454,1,1,1,9,0,0
INT_REMOVE_ALL,D,0.28939,0.27598,0.195,0.43858,0.0055603,0.020856,1,1,0.99998,9,0,0
INT_REMOVE_ALL,E,0,0,0,0,0,0.096146,1,1,1,9,0,0
INT_REMOVE_ALL,F,0.23226,0.2331,0,0.49307,0.23728,0.80253,1,1,1,9,0,0
INT_REMOVE_ALL,G,0,0,0,0,0,0.011458,1,1,1,9,0,0
INT_REMOVE_ALL,H,0.15231,0.14586,0.077036,0.2359,0.0039274,0.027569,1,1,1,9,0,0
INT_REMOVE_ALL,I,0,0,0,0,0,0.27454,1,1,1,9,0,0
INT_REMOVE_ALL,J,0,0,0,0,0,0.013714,1,1,1,9,0,0
INT_REMOVE_ALL,K,0.97319,0.97525,0.95515,0.98762,0.40596,0.41731,1,1,0.99964,9,0,5
INT_REMOVE_ALL,L,0.61677,0.49998,0.45172,0.87983,0.2129,0.26687,0.95383,0.84808,0.99998,9,0,6
OPACITY_ELEM_60,A,0.39857,0.39885,0.39623,0.40018,0.006162,0.015477,0.088634,0.048785,0.00020984,9,9,0
OPACITY_ELEM_60,B,0.39838,0.39821,0.39797,0.39892,0.022062,0.055382,1,1,0.6603,9,0,1
OPACITY_ELEM_60,C,0.39832,0.39829,0.39805,0.39861,0.012529,0.031454,1,1,0.77872,9,0,2
OPACITY_ELEM_60,D,0.39682,0.40076,0.3881,0.40218,0.0082934,0.020856,0.99605,0.99129,0.57726,9,0,0
OPACITY_ELEM_60,E,0.43384,0.43393,0.42869,0.43776,0.041685,0.096146,0.99346,0.98657,0.96023,9,0,8
OPACITY_ELEM_60,F,0.41685,0.42752,0.36195,0.45446,0.32506,0.80253,0,0,0.95657,9,9,0
OPACITY_ELEM_60,G,0.39586,0.3944,0.39009,0.40139,0.004531,0.011458,1,1,0.63827,9,0,0
OPACITY_ELEM_60,H,0.39473,0.39511,0.39057,0.39813,0.010892,0.027569,0.86028,0.69231,0.73922,9,2,0
OPACITY_ELEM_60,I,0.44257,0.44398,0.43735,0.44718,0.12123,0.27454,1,1,0.87868,9,0,6
OPACITY_ELEM_60,J,0.39958,0.39948,0.39857,0.40063,0.0054768,0.013714,0.21864,0.086716,0.10696,9,8,0
OPACITY_ELEM_60,K,0.37943,0.37993,0.37045,0.38771,0.1581,0.41731,0.05463,0,0.80399,9,9,0
OPACITY_ELEM_60,L,0.40025,0.40084,0.39641,0.40546,0.10698,0.26687,0,0,0.2655,9,9,0
OPACITY_FILL_60,A,0,0,0,0,0,0.015477,1,1,1,9,0,0
OPACITY_FILL_60,B,0,0,0,0,0,0.055382,1,1,1,9,0,0
OPACITY_FILL_60,C,0,0,0,0,0,0.031454,1,1,1,9,0,0
