config,mode,promising,conditional,dominated,failed,needs_physical_validation
colour_criterion+deuteranopia,INT_REMOVE_ALL,11,5,92,0,0
colour_criterion+deuteranopia,INT_OUTLINE+BW,0,4,73,31,0
colour_criterion+deuteranopia,INT_GRAY+BG,6,0,94,8,0
colour_criterion+deuteranopia,INT_OUTLINE+HALFTONE_M,0,0,84,24,0
colour_criterion+deuteranopia,COPY_SAFE_ECO,3,15,90,0,0
colour_criterion+deuteranopia,COMBINED_REMOVE+TINT_75,13,15,71,9,0
colour_criterion+deuteranopia,COMBINED_ECO+STRUCT_75,30,20,49,9,0
colour_criterion+deuteranopia,OPACITY_GROUP_90,0,50,53,5,0
colour_criterion+deuteranopia,OPACITY_GROUP_75,15,66,6,21,0
colour_criterion+deuteranopia,OPACITY_GROUP_60,11,40,2,55,0
colour_criterion+deuteranopia,OPACITY_GROUP_45,0,0,0,108,0
colour_criterion+deuteranopia,OPACITY_ELEM_60,11,34,8,55,0
colour_criterion+deuteranopia,OPACITY_FILL_60,3,0,87,18,0
colour_criterion+deuteranopia,OPACITY_STROKE_60,0,26,73,9,0
colour_criterion+deuteranopia,OPACITY_TEXT_60,3,5,56,44,0
colour_criterion+deuteranopia,TINT_75,26,62,8,12,0
colour_criterion+deuteranopia,TINT_55,10,15,0,83,0
colour_criterion+deuteranopia,TINT_30,0,0,0,108,0
colour_criterion+deuteranopia,TINT_FILL_55,6,6,85,11,0
colour_criterion+deuteranopia,TINT_FILL_30,0,10,80,18,0
colour_criterion+deuteranopia,TINT_FILL_15,0,6,75,27,0
colour_criterion+deuteranopia,GRAYSCALE,0,5,58,8,37
colour_criterion+deuteranopia,BW_THRESHOLD,0,0,46,62,0
colour_criterion+deuteranopia,BW_SEMANTIC,0,4,85,17,2
colour_criterion+deuteranopia,OUTLINE_ONLY,0,4,89,15,0
colour_criterion+deuteranopia,OUTLINE_NAIVE,0,4,83,21,0
colour_criterion+deuteranopia,BG_REMOVAL,0,0,108,0,0
colour_criterion+deuteranopia,DECOR_REMOVAL,6,5,97,0,0
colour_criterion+deuteranopia,HALFTONE_H,0,0,99,9,0
colour_criterion+deuteranopia,HALFTONE_M,0,0,80,28,0
colour_criterion+deuteranopia,HALFTONE_L,0,0,79,29,0
colour_criterion+deuteranopia,DITHER_M,0,0,80,27,1
colour_criterion+deuteranopia,HIGH_CONTRAST,0,15,93,0,0
text_contrast=AAA(7:1/4.5:1),STANDARD,0,0,0,0,0
text_contrast=AAA(7:1/4.5:1),ECO_COLOUR,18,8,82,0,0
text_contrast=AAA(7:1/4.5:1),SUPER_ECO_BW,4,10,64,30,0
text_contrast=AAA(7:1/4.5:1),INT_BG+TINT_FILL_55,13,6,89,0,0
text_contrast=AAA(7:1/4.5:1),INT_REMOVE_ALL,11,5,92,0,0
text_contrast=AAA(7:1/4.5:1),INT_OUTLINE+BW,0,4,73,31,0
text_contrast=AAA(7:1/4.5:1),INT_GRAY+BG,6,0,93,9,0
text_contrast=AAA(7:1/4.5:1),INT_OUTLINE+HALFTONE_M,6,3,84,15,0
text_contrast=AAA(7:1/4.5:1),COPY_SAFE_ECO,3,15,90,0,0
text_contrast=AAA(7:1/4.5:1),COMBINED_REMOVE+TINT_75,13,15,80,0,0
text_contrast=AAA(7:1/4.5:1),COMBINED_ECO+STRUCT_75,33,20,55,0,0
text_contrast=AAA(7:1/4.5:1),OPACITY_GROUP_90,0,48,51,9,0
text_contrast=AAA(7:1/4.5:1),OPACITY_GROUP_75,32,57,1,18,0
text_contrast=AAA(7:1/4.5:1),OPACITY_GROUP_60,5,13,0,90,0
text_contrast=AAA(7:1/4.5:1),OPACITY_GROUP_45,0,0,0,108,0
text_contrast=AAA(7:1/4.5:1),OPACITY_ELEM_60,4,11,3,90,0
text_contrast=AAA(7:1/4.5:1),OPACITY_FILL_60,3,0,96,9,0
text_contrast=AAA(7:1/4.5:1),OPACITY_STROKE_60,0,17,82,9,0
text_contrast=AAA(7:1/4.5:1),OPACITY_TEXT_60,1,2,15,90,0
text_contrast=AAA(7:1/4.5:1),TINT_75,34,57,8,9,0
text_contrast=AAA(7:1/4.5:1),TINT_55,6,10,0,92,0
text_contrast=AAA(7:1/4.5:1),TINT_30,0,0,0,108,0
text_contrast=AAA(7:1/4.5:1),TINT_FILL_55,7,6,93,2,0
text_contrast=AAA(7:1/4.5:1),TINT_FILL_30,6,13,80,9,0
text_contrast=AAA(7:1/4.5:1),TINT_FILL_15,0,15,75,18,0
text_contrast=AAA(7:1/4.5:1),GRAYSCALE,0,5,58,9,36
text_contrast=AAA(7:1/4.5:1),BW_THRESHOLD,0,0,46,62,0
text_contrast=AAA(7:1/4.5:1),BW_SEMANTIC,0,4,85,17,2
text_contrast=AAA(7:1/4.5:1),OUTLINE_ONLY,0,4,89,15,0
text_contrast=AAA(7:1/4.5:1),OUTLINE_NAIVE,0,4,83,21,0
text_contrast=AAA(7:1/4.5:1),BG_REMOVAL,0,0,108,0,0
text_contrast=AAA(7:1/4.5:1),DECOR_REMOVAL,6,5,97,0,0
text_contrast=AAA(7:1/4.5:1),HALFTONE_H,0,0,108,0,0
text_contrast=AAA(7:1/4.5:1),HALFTONE_M,0,0,80,19,9
text_contrast=AAA(7:1/4.5:1),HALFTONE_L,0,0,88,20,0
text_contrast=AAA(7:1/4.5:1),DITHER_M,0,0,89,18,1
text_contrast=AAA(7:1/4.5:1),HIGH_CONTRAST,0,15,93,0,0
