mode,dpi,colour,style,width_mm,colour_after,width_after_mm,nominal_tone,g0_continuity,g0_peak_tone_median,raster_fidelity,rendered_wcag_cr,nominal_wcag_cr,tone_per_mm,pc1_continuity,pc1_peak_tone_median,pc2_continuity,pc2_peak_tone_median,pc3_continuity,pc3_peak_tone_median
TINT_55,600,trace_grey,solid,0.25,#dfdfdf,0.25,0.12549,0,0.12549,1,1.33264,1.33264,0.0318745,0,0.0761462,0,0.0754133,0,0.0759231
TINT_55,600,trace_grey,solid,0.35,#dfdfdf,0.35,0.12549,0,0.12549,1,1.33264,1.33264,0.0438327,0.000282247,0.07644,0,0.0757865,0,0.0753118
TINT_55,600,trace_grey,solid,0.5,#dfdfdf,0.5,0.12549,0,0.12549,1,1.33264,1.33264,0.0624365,0,0.0796466,0,0.0754063,0,0.0760749
TINT_55,600,trace_grey,solid,0.75,#dfdfdf,0.75,0.12549,0,0.12549,1,1.33264,1.33264,0.0942902,0.000564493,0.0843517,0,0.0755657,0,0.0757983
TINT_55,600,trace_grey,dashed,0.05,#dfdfdf,0.05,0.12549,0,0.0629911,0.501961,1.14986,1.33264,0.00533325,0,0.0752784,0,0.0751517,0,0.0751851
TINT_55,600,trace_grey,dashed,0.1,#dfdfdf,0.1,0.12549,0,0.12549,1,1.33264,1.33264,0.0119581,0,0.0756739,0,0.0762563,0.000587889,0.075345
TINT_55,600,trace_grey,dashed,0.18,#dfdfdf,0.18,0.12549,0,0.12549,1,1.33264,1.33264,0.0226038,0,0.0754294,0,0.0760173,0,0.0759955
TINT_55,600,trace_grey,dashed,0.25,#dfdfdf,0.25,0.12549,0,0.12549,1,1.33264,1.33264,0.0318953,0,0.0760542,0,0.0758778,0,0.0754713
TINT_55,600,trace_grey,dashed,0.35,#dfdfdf,0.35,0.12549,0,0.12549,1,1.33264,1.33264,0.045166,0.000587889,0.0763021,0,0.0753202,0,0.0743741
TINT_55,600,trace_grey,dashed,0.5,#dfdfdf,0.5,0.12549,0,0.12549,1,1.33264,1.33264,0.0624365,0,0.0790333,0,0.0755755,0,0.0754247
TINT_55,600,trace_grey,dashed,0.75,#dfdfdf,0.75,0.12549,0,0.12549,1,1.33264,1.33264,0.094311,0,0.0835207,0,0.0754915,0,0.0750601
TINT_30,150,black,solid,0.05,#bababa,0.05,0.270588,0,0.0392618,0.145098,1.09023,1.94078,0.0132966,0,0.0585786,0,0.0592837,0,0.0592497
TINT_30,150,black,solid,0.1,#bababa,0.1,0.270588,0,0.113541,0.419608,1.29546,1.94078,0.0265543,0,0.0608934,0,0.0594257,0,0.0593345
TINT_30,150,black,solid,0.18,#bababa,0.18,0.270588,1,0.270588,1,1.94078,1.94078,0.0458196,0.0496614,0.103097,0,0.0591956,0,0.0600825
TINT_30,150,black,solid,0.25,#bababa,0.25,0.270588,1,0.270588,1,1.94078,1.94078,0.0571528,0.12754,0.117203,0,0.0600509,0,0.0595957
TINT_30,150,black,solid,0.35,#bababa,0.35,0.270588,1,0.270588,1,1.94078,1.94078,0.0914725,0.602709,0.157363,0.00225734,0.0636485,0,0.0593238
TINT_30,150,black,solid,0.5,#bababa,0.5,0.270588,1,0.270588,1,1.94078,1.94078,0.138305,0.985327,0.203226,0.0440181,0.0973684,0,0.0595267
TINT_30,150,black,solid,0.75,#bababa,0.75,0.270588,1,0.270588,1,1.94078,1.94078,0.206611,1,0.232183,0.529345,0.152063,0.00112867,0.0678173
TINT_30,150,black,dashed,0.05,#bababa,0.05,0.270588,0,0.0742484,0.274396,1.18137,1.94078,0.0132342,0,0.0596872,0,0.059827,0,0.0591616
TINT_30,150,black,dashed,0.1,#bababa,0.1,0.270588,0,0.13321,0.492299,1.35825,1.94078,0.0278798,0,0.0590999,0,0.0594759,0,0.0589818
